u,v,w,centers,z2_parity,s3_holonomy_startsheet0,s3_type_startsheet0,fiber6_cycle_type,fiber6_perm,rotor_sheet,rotor_perm,tau_sheet_swap_perm,holonomy_type
2,29,44,3,0,"(0, 1, 2)",id,"(1, 1, 1, 1, 1, 1)","(0, 1, 2, 3, 4, 5)",,,,identity
2,31,37,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
2,31,38,1,1,"(2, 0, 1)",3cycle,"(2, 2, 2)","(5, 3, 4, 1, 2, 0)",,,"(2, 0, 1)",identity
2,31,39,1,1,"(2, 0, 1)",3cycle,"(2, 2, 2)","(5, 3, 4, 1, 2, 0)",,,"(2, 0, 1)",identity
2,31,40,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
2,31,42,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
2,31,43,3,0,"(0, 1, 2)",id,"(1, 1, 1, 1, 1, 1)","(0, 1, 2, 3, 4, 5)",,,,identity
2,31,44,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
2,36,37,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
2,36,38,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
2,36,39,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
2,36,41,1,1,"(2, 0, 1)",3cycle,"(2, 2, 2)","(5, 3, 4, 1, 2, 0)",,,"(2, 0, 1)",identity
2,36,42,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
2,36,43,1,1,"(1, 2, 0)",3cycle,"(2, 2, 2)","(4, 5, 3, 2, 0, 1)",,,"(1, 2, 0)",identity
2,37,38,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
2,37,39,1,1,"(0, 1, 2)",id,"(2, 2, 2)","(3, 4, 5, 0, 1, 2)",,,"(0, 1, 2)",identity
2,37,40,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
2,37,43,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
2,37,44,1,1,"(2, 0, 1)",3cycle,"(2, 2, 2)","(5, 3, 4, 1, 2, 0)",,,"(2, 0, 1)",identity
2,38,40,1,1,"(1, 2, 0)",3cycle,"(2, 2, 2)","(4, 5, 3, 2, 0, 1)",,,"(1, 2, 0)",identity
2,38,41,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
2,38,42,1,1,"(0, 1, 2)",id,"(2, 2, 2)","(3, 4, 5, 0, 1, 2)",,,"(0, 1, 2)",identity
2,38,44,0,0,"(2, 0, 1)",3cycle,"(3, 1, 1, 1)","(2, 0, 1, 3, 4, 5)",0.0,"(2, 0, 1)",,identity
2,39,40,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
2,39,41,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 5, 3, 4)",1.0,"(2, 0, 1)",,identity
2,39,42,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
2,39,44,1,1,"(1, 2, 0)",3cycle,"(2, 2, 2)","(4, 5, 3, 2, 0, 1)",,,"(1, 2, 0)",identity
2,40,41,0,0,"(0, 1, 2)",id,"(3, 1, 1, 1)","(0, 1, 2, 4, 5, 3)",1.0,"(1, 2, 0)",,identity
2,40,42,1,1,"(2, 0, 1)",3cycle,"(2, 2, 2)","(5, 3, 4, 1, 2, 0)",,,"(2, 0, 1)",identity
2,40,43,0,0,"(1, 2, 0)",3cycle,"(3, 1, 1, 1)","(1, 2, 0, 3, 4, 5)",0.0,"(1, 2, 0)",,identity
